detector	impact	count
naming-convention	Informational	10335
assembly	Informational	4767
low-level-calls	Informational	4708
redundant-statements	Informational	3496
solc-version	Informational	3051
dead-code	Informational	2766
shadowing-local	Low	1568
divide-before-multiply	Medium	1342
timestamp	Low	1202
unindexed-event-address	Informational	940
missing-zero-check	Low	837
too-many-digits	Informational	803
pragma	Informational	712
unused-return	Medium	661
reentrancy-events	Low	649
constable-states	Optimization	587
incorrect-return	High	539
immutable-states	Optimization	475
incorrect-equality	Medium	386
calls-loop	Low	344
reentrancy-benign	Low	332
uninitialized-local	Medium	231
events-maths	Low	190
reentrancy-no-eth	Medium	189
unchecked-transfer	High	156
incorrect-exp	High	133
boolean-equal	Informational	125
events-access	Low	110
external-function	Optimization	110
incorrect-modifier	Low	109
unused-state	Informational	78
costly-loop	Informational	77
reentrancy-eth	High	73
missing-inheritance	Informational	53
reentrancy-unlimited-gas	Informational	53
arbitrary-send-eth	High	40
shadowing-state	High	40
unimplemented-functions	Informational	34
deprecated-standards	Informational	34
msg-value-in-nonpayable	High	33
function-init-state	Informational	31
locked-ether	Medium	26
constant-function-asm	Medium	25
tautology	Medium	25
controlled-delegatecall	High	22
cyclomatic-complexity	Informational	21
erc20-interface	Medium	18
uninitialized-state	High	18
reentrancy-balance	High	16
cache-array-length	Optimization	14
arbitrary-send-erc20	High	11
weak-prng	High	7
var-read-using-this	Optimization	7
tx-origin	Medium	7
write-after-write	Medium	7
incorrect-shift	High	6
erc721-interface	Medium	6
return-bomb	Low	5
shadowing-abstract	Medium	5
assert-state-change	Informational	4
erc20-indexed	Informational	4
suicidal	High	3
unchecked-lowlevel	Medium	3
void-cst	Low	2
arbitrary-send-erc20-permit	High	2
unchecked-send	Medium	2
controlled-array-length	High	1
