protocol	contract_function	file	detector	severity	description
goplus-locker-v3	Math.mulDiv(uint256,uint256,uint256)	../TVL/output/full_code/goplus-locker-v3/Base_8453/0x0c1dc73159e30c4b06170f2593d3118968a0dca5/openzeppelin/contracts/utils/math/Math.sol	incorrect-exp		"Math.mulDiv(uint256,uint256,uint256) (../TVL/output/full_code/goplus-locker-v3/Base_8453/0x0c1dc73159e30c4b06170f2593d3118968a0dca5/openzeppelin/contracts/utils/math/Math.sol#123-202) has bitwise-xor operator ^ instead of the exponentiation operator **: 
	 - inverse = (3 * denominator) ^ 2 (../TVL/output/full_code/goplus-locker-v3/Base_8453/0x0c1dc73159e30c4b06170f2593d3118968a0dca5/openzeppelin/contracts/utils/math/Math.sol#184)
"
yieldbricks	TransparentUpgradeableProxy._fallback()	../TVL/output/full_code/yieldbricks/Arbitrum_42161/0x11920f139a3121c2836e01551d43f95b3c31159c/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy._fallback() (../TVL/output/full_code/yieldbricks/Arbitrum_42161/0x11920f139a3121c2836e01551d43f95b3c31159c/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#93-103) calls Proxy._fallback() (../TVL/output/full_code/yieldbricks/Arbitrum_42161/0x11920f139a3121c2836e01551d43f95b3c31159c/openzeppelin/contracts/proxy/Proxy.sol#58-60) which halt the execution return(uint256,uint256)(0,returndatasize()()) (../TVL/output/full_code/yieldbricks/Arbitrum_42
yieldbricks	ERC1967Utils._checkNonPayable()	../TVL/output/full_code/yieldbricks/Arbitrum_42161/0x11920f139a3121c2836e01551d43f95b3c31159c/openzeppelin/contracts/proxy/ERC1967/ERC1967Utils.sol	msg-value-in-nonpayable		"ERC1967Utils._checkNonPayable() (../TVL/output/full_code/yieldbricks/Arbitrum_42161/0x11920f139a3121c2836e01551d43f95b3c31159c/openzeppelin/contracts/proxy/ERC1967/ERC1967Utils.sol#188-192) uses msg.value but is not reachable from any payable function
"
swissborg	Math.mulDiv(uint256,uint256,uint256)	../TVL/output/full_code/swissborg/Ethereum_1/0x64d0f55cd8c7133a9d7102b13987235f486f2224/openzeppelin/contracts/utils/math/Math.sol	incorrect-exp		"Math.mulDiv(uint256,uint256,uint256) (../TVL/output/full_code/swissborg/Ethereum_1/0x64d0f55cd8c7133a9d7102b13987235f486f2224/openzeppelin/contracts/utils/math/Math.sol#55-134) has bitwise-xor operator ^ instead of the exponentiation operator **: 
	 - inverse = (3 * denominator) ^ 2 (../TVL/output/full_code/swissborg/Ethereum_1/0x64d0f55cd8c7133a9d7102b13987235f486f2224/openzeppelin/contracts/utils/math/Math.sol#116)
"
pine-protocol	TransparentUpgradeableProxy.ifAdmin()	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) calls Proxy._fallback() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol#58-61) which halt the execution return(uint256,uint256)(0,returndatasize()()) (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569
pine-protocol	TransparentUpgradeableProxy.implementation()	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.implementation() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#75-77) calls TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) which halt the execution return(uint256,uint256)(0,returndatasize
pine-protocol	TransparentUpgradeableProxy.upgradeTo(address)	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.upgradeTo(address) (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#95-97) calls TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) which halt the execution return(uint256,uint256)(0,returndatasi
pine-protocol	TransparentUpgradeableProxy.changeAdmin(address)	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.changeAdmin(address) (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#86-88) calls TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) which halt the execution return(uint256,uint256)(0,returndata
pine-protocol	TransparentUpgradeableProxy.upgradeToAndCall(address,bytes)	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.upgradeToAndCall(address,bytes) (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#106-108) calls TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) which halt the execution return(uint256,uint256)
pine-protocol	TransparentUpgradeableProxy.admin()	../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/Proxy.sol	incorrect-return		TransparentUpgradeableProxy.admin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#62-64) calls TransparentUpgradeableProxy.ifAdmin() (../TVL/output/full_code/pine-protocol/Ethereum_1/0x569424c5ee13884a193773fdc5d1c5f79c443a51/openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol#45-51) which halt the execution return(uint256,uint256)(0,returndatasize()()) (..
