detector	impact	count
naming-convention	Informational	13518
assembly	Informational	7011
low-level-calls	Informational	5181
dead-code	Informational	3869
solc-version	Informational	3641
redundant-statements	Informational	3518
divide-before-multiply	Medium	1984
shadowing-local	Low	1860
timestamp	Low	1514
unindexed-event-address	Informational	1398
too-many-digits	Informational	1193
missing-zero-check	Low	998
unused-return	Medium	908
pragma	Informational	898
reentrancy-events	Low	869
constable-states	Optimization	662
incorrect-return	High	610
calls-loop	Low	597
immutable-states	Optimization	503
incorrect-equality	Medium	481
reentrancy-benign	Low	426
uninitialized-local	Medium	277
reentrancy-no-eth	Medium	250
incorrect-exp	High	199
events-maths	Low	199
unchecked-transfer	High	188
boolean-equal	Informational	138
incorrect-modifier	Low	124
events-access	Low	118
external-function	Optimization	114
reentrancy-eth	High	93
unused-state	Informational	93
costly-loop	Informational	86
missing-inheritance	Informational	70
msg-value-in-nonpayable	High	68
unimplemented-functions	Informational	63
arbitrary-send-eth	High	56
reentrancy-unlimited-gas	Informational	55
shadowing-state	High	46
arbitrary-send-erc20	High	39
cyclomatic-complexity	Informational	36
locked-ether	Medium	33
deprecated-standards	Informational	33
function-init-state	Informational	31
tautology	Medium	28
constant-function-asm	Medium	28
incorrect-shift	High	24
reentrancy-balance	High	24
cache-array-length	Optimization	23
controlled-delegatecall	High	22
uninitialized-state	High	20
erc20-interface	Medium	18
var-read-using-this	Optimization	13
write-after-write	Medium	8
tx-origin	Medium	8
weak-prng	High	7
erc721-interface	Medium	6
return-bomb	Low	5
shadowing-abstract	Medium	5
void-cst	Low	4
unchecked-lowlevel	Medium	4
assert-state-change	Informational	4
suicidal	High	3
encode-packed-collision	High	3
arbitrary-send-erc20-permit	High	2
unchecked-send	Medium	2
unprotected-upgrade	High	1
controlled-array-length	High	1
msg-value-loop	High	1
