detector	impact	count
naming-convention	Informational	11645
assembly	Informational	5737
low-level-calls	Informational	5038
redundant-statements	Informational	3516
solc-version	Informational	3420
dead-code	Informational	3159
shadowing-local	Low	1705
divide-before-multiply	Medium	1517
timestamp	Low	1328
unindexed-event-address	Informational	1100
too-many-digits	Informational	1043
missing-zero-check	Low	920
pragma	Informational	828
unused-return	Medium	811
reentrancy-events	Low	729
constable-states	Optimization	616
incorrect-return	High	608
immutable-states	Optimization	498
calls-loop	Low	455
incorrect-equality	Medium	433
reentrancy-benign	Low	372
uninitialized-local	Medium	244
reentrancy-no-eth	Medium	230
events-maths	Low	194
unchecked-transfer	High	173
incorrect-exp	High	150
boolean-equal	Informational	135
incorrect-modifier	Low	124
events-access	Low	116
external-function	Optimization	114
reentrancy-eth	High	85
unused-state	Informational	85
costly-loop	Informational	79
missing-inheritance	Informational	69
msg-value-in-nonpayable	High	59
reentrancy-unlimited-gas	Informational	55
unimplemented-functions	Informational	48
arbitrary-send-eth	High	48
shadowing-state	High	40
deprecated-standards	Informational	33
locked-ether	Medium	32
function-init-state	Informational	31
tautology	Medium	28
constant-function-asm	Medium	28
cyclomatic-complexity	Informational	25
controlled-delegatecall	High	22
reentrancy-balance	High	20
uninitialized-state	High	20
cache-array-length	Optimization	20
erc20-interface	Medium	18
arbitrary-send-erc20	High	13
tx-origin	Medium	8
weak-prng	High	7
var-read-using-this	Optimization	7
write-after-write	Medium	7
incorrect-shift	High	6
erc721-interface	Medium	6
return-bomb	Low	5
shadowing-abstract	Medium	5
void-cst	Low	4
unchecked-lowlevel	Medium	4
assert-state-change	Informational	4
suicidal	High	3
encode-packed-collision	High	3
arbitrary-send-erc20-permit	High	2
unchecked-send	Medium	2
controlled-array-length	High	1
msg-value-loop	High	1
